time,open,high,low,close,21 SMMA,50 SMMA,100 SMMA,200 SMMA,EMA(2),Buy,Sell,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,SuperTrend,Supertrend HTF,Supertrend HTF Trend Up,Supertrend HTF Trend Down,Volume,Volume MA,3 Line Strike Up,ATR
1059688800,4.71,5.34,4.61,4.731,4.184753327285056,3.4144170493357153,2.837803121503945,NaN,4.825597589728387,0,0,8.030000000000001,6.875,13.921,6.24525,5.8100000000000005,4.395727257434983,5.090988298495323,NaN,NaN,694002,871138.65,0,1.350090247558539
1062367200,4.7,4.98,4.39,4.83,4.2154793593191,3.442728708349001,2.8577250902889055,NaN,4.828532529909462,0,0,8.145,6.875,12.205,6.0912500000000005,5.8100000000000005,4.395727257434983,5.090988298495323,NaN,NaN,744406,869253,0,1.2957980870186432
1064959200,4.77,5.8,4.42,4.893,4.247742246970572,3.4717341341820207,2.8780778393860165,NaN,4.871510843303154,0,0,8.145,6.875,12.63,5.8995,5.8100000000000005,4.395727257434983,5.090988298495323,NaN,NaN,914690,875076.75,0,1.3018125093744541
1067814000,4.975,5.22,4.52,4.925,4.279992616162449,3.5007994514983807,2.8985470609921564,NaN,4.907170281101052,0,0,5.994999999999999,6.875,11.225,5.169499999999999,5.8100000000000005,4.395727257434983,5.090988298495323,NaN,NaN,713056,855139.2,0,1.2588259015619931
1070233200,4.899,7.55,4.87,6.189,4.370897729678523,3.554563462468413,2.9314515903822347,NaN,5.761723427033684,0,0,5.97,6.875,9.316,4.862,5.8100000000000005,4.395727257434983,5.090988298495323,NaN,NaN,722185,832545.8,0,1.3603383371647078
1072911600,6.325,7.63,5.35,5.397,4.419759742550975,3.5914121932190444,2.956107074478412,NaN,5.5185744756778945,0,0,6.01,6.875,6.714,4.832,5.8100000000000005,4.395727257434983,5.393936279445798,5.393936279445798,NaN,528754,803512.35,0,1.4260284559386573
1075676400,5.45,5.79,5.06,5.416,4.467199754810453,3.627903949354663,2.980706003733628,NaN,5.450191491892632,0,0,6.01,6.875,7.21,4.6007500000000014,5.8100000000000005,4.395727257434983,5.393936279445798,NaN,NaN,544341,784064.4,0,1.3763121376573246
1078095600,5.358,5.95,5.2,5.933,4.5369997664861454,3.6740058703675698,3.010228943696292,NaN,5.772063830630877,0,0,6.01,6.9700000000000015,6.555,4.535,5.8100000000000005,4.395727257434983,5.393936279445798,NaN,NaN,679862,772041.8,0,1.3315755563960872
1080774000,5.905,6.03,5.46,5.862,4.600095015701091,3.717765752960218,3.038746654259329,NaN,5.832021276876959,0,0,6.01,7.117499999999999,6.384,4.327499999999999,5.8100000000000005,4.395727257434983,5.393936279445798,NaN,NaN,670933,754440.95,0,1.2771773023677953
1083535200,5.862,6.8,5.84,6.442,4.687804776858182,3.7722504379010138,3.0727791877167356,NaN,6.238673758958987,0,0,6.01,7.2700000000000005,6.085,4.38,5.8100000000000005,4.395727257434983,5.530907194953952,NaN,NaN,773947,745788.25,0,1.2545217807700957
1086040800,6.504,6.73,5.96,6.155,4.757671216055412,3.8199054291429935,3.103601395839568,NaN,6.182891252986329,0,0,6.025,7.2700000000000005,8.211,4.39375,5.8100000000000005,4.395727257434983,5.995319973751206,NaN,NaN,783842,730386.05,0,1.2199130821436603
1088632800,6.155,6.46,5.77,6.112,4.822163062909916,3.865747320560134,3.1336853818811727,NaN,6.13563041766211,0,0,6.074999999999999,7.2700000000000005,6.048,4.39375,5.8100000000000005,4.395727257434983,5.995319973751206,NaN,NaN,734442,727711.05,0,1.1820621477048276
1091397600,6.045,6.045,5.03,5.074,4.834155298009444,3.889912374148931,3.1530885280623613,NaN,5.42787680588737,0,0,6.25,7.2700000000000005,5.62,4.39375,5.8100000000000005,4.395727257434983,5.995319973751206,NaN,NaN,675440,719792.6,0,1.1749148514401972
1093989600,5.06,7.23,4.52,6.795,4.927528855247089,3.9480141266659525,3.189507642781738,NaN,6.339292268629123,1,0,6.074999999999999,7.2700000000000005,7.534,4.39375,5.8100000000000005,4.395727257434983,5.5558293094327,NaN,5.5558293094327,765157,710132.55,1,1.2845637906230405
1096581600,6.79,9.505,6.425,8.725,5.108360814521037,4.043553844132633,3.2448625663539206,NaN,7.92976408954304,0,0,7.0125,7.5,8.844,4.475000000000001,5.8100000000000005,4.395727257434983,5.375608136372342,5.375608136372342,NaN,616264,700955,0,1.4128092341499663
1099263600,8.825,9.2,6.65,7.62,5.227962680496225,4.115082767249981,3.288613940690381,NaN,7.7232546965143465,0,0,7.0125,7.785,6.299,4.5825,5.8100000000000005,4.395727257434983,7.344550507092034,NaN,NaN,640828,704292.2,0,1.4940371459963973
1101855600,7.62,7.775,6.1,6.149,5.271821600472596,4.155761111904981,3.3172178012834768,NaN,6.673751565504782,0,0,7.0125,7.82,7.667,4.65625,5.8100000000000005,4.395727257434983,7.344550507092034,NaN,NaN,549361,700532,0,1.5069630641395118
